age,anio_def,cause,excess_total,attributable,se_attrib,lower95,upper95
02.de 20 a 39 anios,2015,diabetes,-15.865984777035676,-0,0,-0,0
02.de 20 a 39 anios,2015,alzheimer,-1.8199651970616793,-0,0,-0,0
02.de 20 a 39 anios,2015,metabolic,-11.881383084709373,0,0,0,0
02.de 20 a 39 anios,2015,anemia,-0.44623743042737707,0,0,0,0
02.de 20 a 39 anios,2016,resp,177.59713075012507,NA,0,NA,NA
02.de 20 a 39 anios,2016,circ,13.08456051327964,NA,0,NA,NA
02.de 20 a 39 anios,2016,diabetes,12.967007611482614,NA,0,NA,NA
02.de 20 a 39 anios,2016,alzheimer,-0.8099825985308342,NA,0,NA,NA
02.de 20 a 39 anios,2016,metabolic,12.359308457645447,NA,0,NA,NA
02.de 20 a 39 anios,2016,anemia,8.67688128478638,NA,0,NA,NA
02.de 20 a 39 anios,2017,resp,-1.4000000000007589,NA,0,NA,NA
02.de 20 a 39 anios,2017,circ,47.79999999999899,NA,0,NA,NA
02.de 20 a 39 anios,2017,diabetes,-4.200000000000102,NA,0,NA,NA
02.de 20 a 39 anios,2017,alzheimer,1.1999999999999986,NA,0,NA,NA
02.de 20 a 39 anios,2017,metabolic,-6.400000000000025,NA,0,NA,NA
02.de 20 a 39 anios,2017,anemia,-4.200000000000014,NA,0,NA,NA
02.de 20 a 39 anios,2018,resp,48.602869249874914,NA,0,NA,NA
02.de 20 a 39 anios,2018,circ,64.5154394867202,NA,0,NA,NA
02.de 20 a 39 anios,2018,diabetes,17.632992388517383,NA,0,NA,NA
02.de 20 a 39 anios,2018,alzheimer,1.2099825985308341,NA,0,NA,NA
02.de 20 a 39 anios,2018,metabolic,1.8406915423545596,NA,0,NA,NA
02.de 20 a 39 anios,2018,anemia,-0.07688128478637823,NA,0,NA,NA
02.de 20 a 39 anios,2019,resp,-63.39426150024862,NA,0,NA,NA
02.de 20 a 39 anios,2019,circ,-1.7691210265576132,NA,0,NA,NA
02.de 20 a 39 anios,2019,diabetes,-10.53401522296502,NA,0,NA,NA
02.de 20 a 39 anios,2019,alzheimer,0.21996519706167064,NA,0,NA,NA
02.de 20 a 39 anios,2019,metabolic,4.081383084709179,NA,0,NA,NA
02.de 20 a 39 anios,2019,anemia,-3.953762569572725,NA,0,NA,NA
02.de 20 a 39 anios,2020,resp,-87.39139225036936,7.898384362319459,16.586325629973544,-24.61081387242869,40.40758259706761
02.de 20 a 39 anios,2020,circ,-41.05368153983176,12.424136543082318,15.085328454305483,-17.14310722735643,41.99138031352106
02.de 20 a 39 anios,2020,diabetes,35.298977165552955,14.466404220832827,5.072395093716412,4.52450983714866,24.408298604516993
02.de 20 a 39 anios,2020,alzheimer,2.229947795592512,2.323562979616729,0.745659718972606,0.8620699304304213,3.7850560288030364
02.de 20 a 39 anios,2020,metabolic,0.32207462706390855,-7.0234526842701195,3.238727429572626,-13.371358446232467,-0.675546922307773
02.de 20 a 39 anios,2020,anemia,9.169356145640984,22.40043756508102,1.4804908695651893,19.49867546073325,25.30219966942879
02.de 20 a 39 anios,2021,resp,200.6114769995056,125.88669932714726,28.302848164434423,70.41311692485579,181.36028172943873
02.de 20 a 39 anios,2021,circ,174.66175794688849,101.47741195814822,33.383043936850974,36.04664584192031,166.90817807437614
02.de 20 a 39 anios,2021,diabetes,50.131969554070345,16.973759542843,4.240112193221677,8.663139644128512,25.284379441557483
