PROVRES,SEXO,CAUSA,MAT,GRUPEDAD,CUENTA
66,1,F10,,15_70 a 74,5
54,1,I44,,17_80 y más,1
82,1,C67,,16_75 a 79,20
86,2,D48,,16_75 a 79,2
06,2,A17, ,05_20 a 24,1
74,1,I25,,14_65 a 69,6
42,1,C95,,17_80 y más,5
54,1,K70,,16_75 a 79,1
38,1,C18,,13_60 a 64,1
50,2,C24,,16_75 a 79,2
50,2,O88,M,08_35 a 39,1
86,2,C80,,17_80 y más,2
66,2,C34,,14_65 a 69,8
22,1,K74,,15_70 a 74,5
26,2,A41,,13_60 a 64,4
74,2,C22,,13_60 a 64,1
98,2,K56,,17_80 y más,1
78,2,C80,,13_60 a 64,1
06,2,C56,,10_45 a 49,12
06,2,M43,,17_80 y más,1
06,2,M34,,14_65 a 69,4
30,2,K92,,14_65 a 69,2
62,1,I67,,14_65 a 69,3
42,2,I60, ,12_55 a 59,1
02,1,Y20, ,05_20 a 24,1
14,2,Q90, ,11_50 a 54,1
06,2,C91, ,13_60 a 64,5
06,1,M88,,17_80 y más,1
94,2,V48,,08_35 a 39,1
38,2,K63,,17_80 y más,1
18,2,C57,,10_45 a 49,1
10,1,A41,,10_45 a 49,3
02,2,E43,,09_40 a 44,1
22,2,I21,,11_50 a 54,2
18,1,R99,,05_20 a 24,5
86,2,C56,,10_45 a 49,1
30,2,E10,,15_70 a 74,1
18,1,C74,,12_55 a 59,1
82,1,P26,,01_Menor de 1 año,4
99,1,I64,,15_70 a 74,1
46,2,I10,,15_70 a 74,3
02,1,C32,,12_55 a 59,3
30,1,C22,,04_15 a 19,1
06,2,K85,,16_75 a 79,3
86,1,J18,,14_65 a 69,16
06,2,I46,,16_75 a 79,1
54,1,C18,,11_50 a 54,3
42,1,R58,,17_80 y más,1
26,2,K70,,11_50 a 54,3
66,1,A09,,15_70 a 74,3
18,1,I50,,13_60 a 64,10
50,2,C55,,12_55 a 59,2
99,1,X95, ,05_20 a 24,2
86,2,B57,,10_45 a 49,1
90,1,C61,,12_55 a 59,3
82,2,D15,,16_75 a 79,1
26,1,C64,,11_50 a 54,3
14,2,C90, ,11_50 a 54,1
06,1,V05, ,13_60 a 64,3
90,2,L03,,07_30 a 34,1
06,1,K92, ,02_1 a 9,2
58,1,C22,,15_70 a 74,2
90,1,C34,,12_55 a 59,15
26,2,F03,,16_75 a 79,1
14,1,I61,,11_50 a 54,1
70,2,V48,,04_15 a 19,1
94,1,C25,,17_80 y más,1
70,1,G06,,17_80 y más,1
06,2,I35, ,14_65 a 69,12
06,2,D69,,07_30 a 34,1
50,2,F01,,14_65 a 69,1
06,1,C48, ,13_60 a 64,2
34,1,P21,,01_Menor de 1 año,2
18,1,E86,,17_80 y más,3
06,1,I72, ,12_55 a 59,1
10,1,P22,,01_Menor de 1 año,3
22,1,I50, ,13_60 a 64,1
18,1,P52,,01_Menor de 1 año,2
06,1,C97, ,16_75 a 79,16
34,1,E14,,12_55 a 59,11
86,2,K85,,16_75 a 79,1
14,2,C51, ,15_70 a 74,1
66,2,I69,,15_70 a 74,1
46,1,I67,,17_80 y más,4
18,2,O96,T,08_35 a 39,1
82,1,K76,,10_45 a 49,5
58,1,I67,,15_70 a 74,6
66,1,J44,,11_50 a 54,3
86,2,X70,,08_35 a 39,1
10,2,K56,,15_70 a 74,2
90,1,I50,,17_80 y más,149
90,2,K56,,14_65 a 69,8
10,1,C24,,13_60 a 64,1
30,1,V47,,13_60 a 64,1
70,2,J18,,14_65 a 69,18
06,1,D38, ,16_75 a 79,3
58,1,A41,,16_75 a 79,2
62,2,X59,,04_15 a 19,1
78,2,J69,,16_75 a 79,1
02,2,R53, ,13_60 a 64,1
22,1,I51,,12_55 a 59,3
14,2,V44, ,08_35 a 39,1
86,2,Q24,,01_Menor de 1 año,2
26,2,C22,,14_65 a 69,1
26,1,X99,,15_70 a 74,1
18,1,C38,,06_25 a 29,1
06,2,W87, ,07_30 a 34,2
14,1,J44, ,08_35 a 39,1
