"term","estimate","std.error","statistic","p.value","age","cause","anio_def","coef","se"
"factor(anio_def)2017",1.5755329509288,1.07628872682557,1.46385715250936,0.146569163918067,"01.menor a 20 anios","metabolic",NA,NA,NA
"factor(anio_def)2018",0.571632759726529,1.00696424225634,0.567679303532816,0.571606144367496,"01.menor a 20 anios","metabolic",NA,NA,NA
"factor(anio_def)2019",-0.0989340981424065,0.972353545223659,-0.101747043170033,0.919174185974945,"01.menor a 20 anios","metabolic",NA,NA,NA
"factor(anio_def)2020",-1.756847900456,1.03336745697633,-1.70011924470372,0.0924151168849101,"01.menor a 20 anios","metabolic",NA,NA,NA
"factor(anio_def)2021",0.188238985780891,1.39124088633136,0.135302942596281,0.892661672997357,"01.menor a 20 anios","metabolic",NA,NA,NA
"factor(anio_def)2022",-1.87698254252204,1.18223513582287,-1.58765586104459,0.115722374985526,"01.menor a 20 anios","metabolic",NA,NA,NA
"factor(anio_def)2023",-2.40890211168311,1.44904807132932,-1.66240317305226,0.0997632164533663,"01.menor a 20 anios","metabolic",NA,NA,NA
"factor(anio_def)2024",-2.58569807561221,1.15355314591921,-2.24150754107805,0.0273460897839243,"01.menor a 20 anios","metabolic",NA,NA,NA
"factor(month)2",0.0595253870882484,1.09283635331857,0.054468710623956,0.956677336103117,"01.menor a 20 anios","metabolic",NA,NA,NA
"factor(month)3",0.967999381938371,1.16335072790756,0.832078717722077,0.407473418149648,"01.menor a 20 anios","metabolic",NA,NA,NA
"factor(month)4",0.782343107849928,1.23468154948384,0.633639587614304,0.527854853890411,"01.menor a 20 anios","metabolic",NA,NA,NA
"factor(month)5",0.666553021138679,1.24570909566461,0.535079195823854,0.593858665111201,"01.menor a 20 anios","metabolic",NA,NA,NA
"factor(month)6",1.51949896690702,1.24940075002338,1.21618221125494,0.226960724988804,"01.menor a 20 anios","metabolic",NA,NA,NA
"factor(month)7",1.68082678912236,1.59503833978302,1.05378456880918,0.294682729193775,"01.menor a 20 anios","metabolic",NA,NA,NA
"factor(month)8",-0.746130145913992,1.18045819774039,-0.632068248873378,0.52887661177512,"01.menor a 20 anios","metabolic",NA,NA,NA
"factor(month)9",1.3732496576843,1.24259514786755,1.10514648318156,0.271916794801136,"01.menor a 20 anios","metabolic",NA,NA,NA
"factor(month)10",-0.242274862637148,1.09757380501448,-0.220736739096968,0.825776165517386,"01.menor a 20 anios","metabolic",NA,NA,NA
"factor(month)11",0.226838400661252,1.08576173620189,0.208920975107076,0.834962000444764,"01.menor a 20 anios","metabolic",NA,NA,NA
"factor(month)12",0.260919705087915,1.17349892515202,0.222343369470164,0.824528974943987,"01.menor a 20 anios","metabolic",NA,NA,NA
"covid:factor(anio_def)2020",-0.313596448591264,0.650147955718177,-0.482346281078212,0.630681276551569,"01.menor a 20 anios","metabolic",NA,NA,NA
"covid:factor(anio_def)2021",-0.415374624419211,0.645929298203084,-0.643065155234087,0.521747439194465,"01.menor a 20 anios","metabolic",NA,NA,NA
"covid:factor(anio_def)2022",-0.31485082917654,0.642132443425572,-0.490320700036446,0.625049540317449,"01.menor a 20 anios","metabolic",NA,NA,NA
"covid:factor(anio_def)2023",-0.482147859587779,0.836180336191661,-0.576607507638478,0.565582850429156,"01.menor a 20 anios","metabolic",NA,NA,NA
NA,NA,NA,NA,NA,"01.menor a 20 anios","metabolic",2015,0.327923296136504,0.64444093741183
NA,NA,NA,NA,NA,"01.menor a 20 anios","metabolic",2016,NA,0.64444093741183
NA,NA,NA,NA,NA,"01.menor a 20 anios","metabolic",2017,NA,0.64444093741183
NA,NA,NA,NA,NA,"01.menor a 20 anios","metabolic",2018,NA,0.64444093741183
NA,NA,NA,NA,NA,"01.menor a 20 anios","metabolic",2019,NA,0.64444093741183
NA,NA,NA,NA,NA,"01.menor a 20 anios","metabolic",2020,0.0143268475452391,0.0400640695963013
NA,NA,NA,NA,NA,"01.menor a 20 anios","metabolic",2021,-0.0874513282827077,0.0423626734828757
NA,NA,NA,NA,NA,"01.menor a 20 anios","metabolic",2022,0.0130724669599638,0.0169899664532044
