"age","anio_def","cause","method","cor","p.value","n"
"02.de 20 a 39 anios",2017,"anemia","spearman",NA,NA,12
"02.de 20 a 39 anios",2018,"anemia","pearson",NA,NA,12
"02.de 20 a 39 anios",2018,"anemia","spearman",NA,NA,12
"02.de 20 a 39 anios",2019,"anemia","pearson",NA,NA,12
"02.de 20 a 39 anios",2019,"anemia","spearman",NA,NA,12
"02.de 20 a 39 anios",2020,"anemia","pearson",0.876692431857791,0.000181882804365501,12
"02.de 20 a 39 anios",2020,"anemia","spearman",0.781087012197256,0.00270529564613969,12
"02.de 20 a 39 anios",2021,"anemia","pearson",0.465224095165984,0.127498955022478,12
"02.de 20 a 39 anios",2021,"anemia","spearman",0.237762237762238,0.457102206809002,12
"02.de 20 a 39 anios",2022,"anemia","pearson",-0.22382750511359,0.484348908398877,12
"02.de 20 a 39 anios",2022,"anemia","spearman",-0.10157633790906,0.753434083780813,12
"02.de 20 a 39 anios",2023,"anemia","pearson",-0.406920889998665,0.189249321338658,12
"02.de 20 a 39 anios",2023,"anemia","spearman",-0.24110725204288,0.450300482874108,12
"02.de 20 a 39 anios",2024,"anemia","pearson",0.106552532927121,0.741709987457858,12
"02.de 20 a 39 anios",2024,"anemia","spearman",0.131455518642758,0.683834977221256,12
"03.de 40 a 49 anios",2015,"covid","pearson",NA,NA,12
"03.de 40 a 49 anios",2015,"covid","spearman",NA,NA,12
"03.de 40 a 49 anios",2016,"covid","pearson",NA,NA,12
"03.de 40 a 49 anios",2016,"covid","spearman",NA,NA,12
"03.de 40 a 49 anios",2017,"covid","pearson",NA,NA,12
"03.de 40 a 49 anios",2017,"covid","spearman",NA,NA,12
"03.de 40 a 49 anios",2018,"covid","pearson",NA,NA,12
"03.de 40 a 49 anios",2018,"covid","spearman",NA,NA,12
"03.de 40 a 49 anios",2019,"covid","pearson",NA,NA,12
"03.de 40 a 49 anios",2019,"covid","spearman",NA,NA,12
"03.de 40 a 49 anios",2020,"covid","pearson",1,0,12
"03.de 40 a 49 anios",2020,"covid","spearman",1,0,12
"03.de 40 a 49 anios",2021,"covid","pearson",1,0,12
"03.de 40 a 49 anios",2021,"covid","spearman",1,0,12
"03.de 40 a 49 anios",2022,"covid","pearson",1,4.25061421071047e-78,12
"03.de 40 a 49 anios",2022,"covid","spearman",1,0,12
"03.de 40 a 49 anios",2023,"covid","pearson",1,0,12
"03.de 40 a 49 anios",2023,"covid","spearman",1,0,12
"03.de 40 a 49 anios",2024,"covid","pearson",1,0,12
"03.de 40 a 49 anios",2024,"covid","spearman",1,0,12
"03.de 40 a 49 anios",2015,"resp","pearson",NA,NA,12
"03.de 40 a 49 anios",2015,"resp","spearman",NA,NA,12
"03.de 40 a 49 anios",2016,"resp","pearson",NA,NA,12
"03.de 40 a 49 anios",2016,"resp","spearman",NA,NA,12
"03.de 40 a 49 anios",2017,"resp","pearson",NA,NA,12
"03.de 40 a 49 anios",2017,"resp","spearman",NA,NA,12
"03.de 40 a 49 anios",2018,"resp","pearson",NA,NA,12
"03.de 40 a 49 anios",2018,"resp","spearman",NA,NA,12
"03.de 40 a 49 anios",2019,"resp","pearson",NA,NA,12
"03.de 40 a 49 anios",2019,"resp","spearman",NA,NA,12
"03.de 40 a 49 anios",2020,"resp","pearson",0.0784212359634205,0.80858399412189,12
"03.de 40 a 49 anios",2020,"resp","spearman",-0.0455342204419925,0.888252331652893,12
"03.de 40 a 49 anios",2021,"resp","pearson",0.947063622752371,2.99442964315553e-06,12
"03.de 40 a 49 anios",2021,"resp","spearman",0.923076923076923,0,12
"03.de 40 a 49 anios",2022,"resp","pearson",0.529693633134774,0.0765263073379675,12
"03.de 40 a 49 anios",2022,"resp","spearman",0.027972027972028,0.9386633634935,12
"03.de 40 a 49 anios",2023,"resp","pearson",0.271168971083243,0.393916963842294,12
"03.de 40 a 49 anios",2023,"resp","spearman",0.264091055701499,0.406855762668481,12
"03.de 40 a 49 anios",2024,"resp","pearson",0.347598051509891,0.268246463854834,12
"03.de 40 a 49 anios",2024,"resp","spearman",0.367058489524401,0.240516972379402,12
"03.de 40 a 49 anios",2015,"circ","pearson",NA,NA,12
"03.de 40 a 49 anios",2015,"circ","spearman",NA,NA,12
"03.de 40 a 49 anios",2016,"circ","pearson",NA,NA,12
"03.de 40 a 49 anios",2016,"circ","spearman",NA,NA,12
"03.de 40 a 49 anios",2017,"circ","pearson",NA,NA,12
"03.de 40 a 49 anios",2017,"circ","spearman",NA,NA,12
"03.de 40 a 49 anios",2018,"circ","pearson",NA,NA,12
"03.de 40 a 49 anios",2018,"circ","spearman",NA,NA,12
"03.de 40 a 49 anios",2019,"circ","pearson",NA,NA,12
"03.de 40 a 49 anios",2019,"circ","spearman",NA,NA,12
"03.de 40 a 49 anios",2020,"circ","pearson",0.716884745725917,0.00869690224389154,12
"03.de 40 a 49 anios",2020,"circ","spearman",0.633976453846203,0.0268409444196137,12
"03.de 40 a 49 anios",2021,"circ","pearson",0.628724930943999,0.0285315746307078,12
"03.de 40 a 49 anios",2021,"circ","spearman",0.741258741258741,0.0081706398158992,12
"03.de 40 a 49 anios",2022,"circ","pearson",0.628569299083582,0.0285828199609578,12
"03.de 40 a 49 anios",2022,"circ","spearman",0.00699300699300699,0.991230036057101,12
"03.de 40 a 49 anios",2023,"circ","pearson",0.13839324244942,0.667971613740692,12
"03.de 40 a 49 anios",2023,"circ","spearman",0.0809879237484598,0.80242653521426,12
"03.de 40 a 49 anios",2024,"circ","pearson",0.373400448927321,0.231862785332977,12
"03.de 40 a 49 anios",2024,"circ","spearman",0.41384045387555,0.181105779411043,12
"03.de 40 a 49 anios",2015,"diabetes","pearson",NA,NA,12
"03.de 40 a 49 anios",2015,"diabetes","spearman",NA,NA,12
"03.de 40 a 49 anios",2016,"diabetes","pearson",NA,NA,12
"03.de 40 a 49 anios",2016,"diabetes","spearman",NA,NA,12
"03.de 40 a 49 anios",2017,"diabetes","pearson",NA,NA,12
"03.de 40 a 49 anios",2017,"diabetes","spearman",NA,NA,12
"03.de 40 a 49 anios",2018,"diabetes","pearson",NA,NA,12
"03.de 40 a 49 anios",2018,"diabetes","spearman",NA,NA,12
"03.de 40 a 49 anios",2019,"diabetes","pearson",NA,NA,12
"03.de 40 a 49 anios",2019,"diabetes","spearman",NA,NA,12
"03.de 40 a 49 anios",2020,"diabetes","pearson",0.871444723655803,0.000221974987765524,12
"03.de 40 a 49 anios",2020,"diabetes","spearman",0.654992247896354,0.0207937091260825,12
"03.de 40 a 49 anios",2021,"diabetes","pearson",0.59624827445662,0.0407337809753891,12
"03.de 40 a 49 anios",2021,"diabetes","spearman",0.566433566433566,0.0590341482159041,12
"03.de 40 a 49 anios",2022,"diabetes","pearson",0.767566736873027,0.00356167725029885,12
"03.de 40 a 49 anios",2022,"diabetes","spearman",0.272727272727273,0.391232746026155,12
"03.de 40 a 49 anios",2023,"diabetes","pearson",0.0358589692173094,0.911904440794128,12
"03.de 40 a 49 anios",2023,"diabetes","spearman",0.13028492081274,0.686523400903651,12
"03.de 40 a 49 anios",2024,"diabetes","pearson",0.577926650140569,0.0490525695125279,12
"03.de 40 a 49 anios",2024,"diabetes","spearman",0.554186346928997,0.0615197655113868,12
"03.de 40 a 49 anios",2015,"alzheimer","pearson",NA,NA,12
"03.de 40 a 49 anios",2015,"alzheimer","spearman",NA,NA,12
"03.de 40 a 49 anios",2016,"alzheimer","pearson",NA,NA,12
"03.de 40 a 49 anios",2016,"alzheimer","spearman",NA,NA,12
"03.de 40 a 49 anios",2017,"alzheimer","pearson",NA,NA,12
"03.de 40 a 49 anios",2017,"alzheimer","spearman",NA,NA,12
"03.de 40 a 49 anios",2018,"alzheimer","pearson",NA,NA,12
